"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"103 King St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9044,9.044,5.6199416,2301,38.35,0.639166666666667,-71.054993,42.293406,"(35,40]","Boston"
"100 Houghton St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",10253,10.253,6.3712142,3394,56.5666666666667,0.942777777777778,-71.049993,42.293406,"(55,60]","Boston"
"264 Conley St, Boston, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",10999,10.999,6.8347786,2518,41.9666666666667,0.699444444444444,-71.044993,42.293406,"(40,45]","Boston"
"20 Ericsson St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",12194,12.194,7.5773516,2856,47.6,0.793333333333333,-71.039993,42.293406,"(45,50]","Boston"
"Quincy Riverwalk, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14381,14.381,8.9363534,3640,60.6666666666667,1.01111111111111,-71.034993,42.293406,"(60,65]","Boston"
"4 Seaport Dr, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15732,15.732,9.7758648,4118,68.6333333333333,1.14388888888889,-71.029993,42.293406,"(65,70]","Boston"
"108 Victory Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",13553,13.553,8.4218342,2657,44.2833333333333,0.738055555555556,-71.024993,42.293406,"(40,45]","Boston"
"E Squantum St @ Victory Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",13268,13.268,8.2447352,2445,40.75,0.679166666666667,-71.019993,42.293406,"(40,45]","Boston"
"117 Essex St, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",16139,16.139,10.0287746,3262,54.3666666666667,0.906111111111111,-71.014993,42.293406,"(50,55]","Boston"
"18 Livesey Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15537,15.537,9.6546918,2948,49.1333333333333,0.818888888888889,-71.009993,42.293406,"(45,50]","Boston"
